Genres
japanese jazz fusion
japanese jazztronica
japanese math rock
japanese metalcore
japanese pop punk
japanese post-hardcore
japanese post-rock
japanese power metal
japanese prog
japanese psychedelic
japanese psychedelic rock
japanese punk rock
japanese r&b
japanese rockabilly
japanese shoegaze
japanese singer-songwriter
japanese ska
japanese soul
japanese trap
japanese underground rap
jawaiian
jazz
jazz blues
jazz boom bap
jazz funk
jazz fusion
jazz guitar
jazz house
jazz metal
jazz organ
jazz piano
jazz pop
jazz quartet
jazz rap
jazz rock
jazz saxophone
jazz trio
jazz trumpet
jazz violin
jazztronica
jersey club
jewish hip hop
jewish pop
judaica
jug band
jump blues
jump up
jungle
k-indie
k-pop
k-pop boy group
k-pop girl group
k-rap
k-rock
kannada pop
kansai indie
kansas indie
kantele
karadeniz turkuleri
kawaii future bass
kawaii metal
kc indie
kelowna bc indie
kent indie
kentucky hip hop
kentucky indie
kentucky metal
kentucky punk
kentucky roots
kenyan alternative
kenyan pop
kingston on indie
kiwi rock
kizomba
kizomba antigas
korean city pop
korean dream pop
korean electropop
korean indie folk
korean indie rock
korean old school hip hop
korean ost
korean pop
korean punk
korean r&b
korean superband
krautrock
kyushu indie
la indie
la pop
laboratorio
lafayette indie
latin
latin afrobeat
latin alternative
latin american heavy psych
latin arena pop
latin hip hop
latin jazz
latin metal
latin pop
latin rock
latin shoegaze
latin tech house
latin viral pop
latintronica
latinx alternative
lawrence ks indie
lds youth
leeds indie
leicester indie
lexington ky indie
lgbtq+ hip hop
lilith
limerick indie
liquid funk
lithuanian pop
liverpool indie
livetronica
lo star
lo-fi
lo-fi beats
lo-fi chill
lo-fi emo
lo-fi house
lo-fi indie
lo-fi jazzhop
london indie
london rap
long island punk
louisiana blues
louisiana metal
louisville indie
louisville underground
lounge
madchester
magyar alternative
maine indie
malay rap
malayalam pop
malaysian pop
malaysian punk
malian blues
malmo indie
manchester hip hop
manchester indie
mande pop
mandible
mandopop
manitoba indie
martial industrial
mashup
math pop
math rock
math rock latinoamericano
mathcore
mbalax
medieval folk
medieval rock
medway sound
melancholia
melbourne indie
mellow gold
melodic black metal
melodic death metal
melodic deathcore
melodic doom
melodic dubstep
melodic groove metal
melodic hard rock
melodic hardcore
melodic metal
melodic metalcore
melodic power metal
melodic rap
melodic techno
melodic thrash
meme rap
memphis americana
memphis blues
memphis hip hop
memphis indie
memphis soul
merseybeat
metal
metal catala
metal colombiano
